player;cluster;classification
Ben White;1;Defensor Temerario
Gabriel Magalhães;4;Defensor Regular
Jakub Kiwior;4;Defensor Regular
Jurriën Timber;1;Defensor Temerario
Kieran Tierney;3;Defensor Atacante
Myles Lewis-Skelly;1;Defensor Temerario
Oleksandr Zinchenko;1;Defensor Temerario
Riccardo Calafiori;0;Defensor Equilibrado
William Saliba;4;Defensor Regular
Andrés García;3;Defensor Atacante
Axel Disasi;4;Defensor Regular
Diego Carlos;2;Defensor Caudillo
Ezri Konsa;4;Defensor Regular
Ian Maatsen;1;Defensor Temerario
Kosta Nedeljković;1;Defensor Temerario
Lamare Bogarde;1;Defensor Temerario
Lucas Digne;1;Defensor Temerario
Matty Cash;1;Defensor Temerario
Pau Torres;4;Defensor Regular
Tyrone Mings;4;Defensor Regular
Adam Smith;1;Defensor Temerario
Dean Huijsen;2;Defensor Caudillo
Illia Zabarnyi;2;Defensor Caudillo
James Hill;2;Defensor Caudillo
Julian Araujo;1;Defensor Temerario
Marcos Senesi;4;Defensor Regular
Max Aarons;4;Defensor Regular
Milos Kerkez;0;Defensor Equilibrado
Ben Mee;4;Defensor Regular
Ethan Pinnock;4;Defensor Regular
Keane Lewis-Potter;3;Defensor Atacante
Kristoffer Ajer;3;Defensor Atacante
Mads Roerslev;3;Defensor Atacante
Michael Kayode;1;Defensor Temerario
Nathan Collins;2;Defensor Caudillo
Rico Henry;1;Defensor Temerario
Sepp van den Berg;4;Defensor Regular
Adam Webster;4;Defensor Regular
Ferdi Kadioglu;3;Defensor Atacante
Igor;4;Defensor Regular
Jack Hinshelwood;0;Defensor Equilibrado
Jan Paul van Hecke;4;Defensor Regular
Joël Veltman;1;Defensor Temerario
Lewis Dunk;4;Defensor Regular
Pervis Estupiñán;0;Defensor Equilibrado
Tariq Lamptey;0;Defensor Equilibrado
Axel Disasi;1;Defensor Temerario
Benoît Badiashile;4;Defensor Regular
Joshua Acheampong;2;Defensor Caudillo
Levi Colwill;2;Defensor Caudillo
Malo Gusto;1;Defensor Temerario
Marc Cucurella;1;Defensor Temerario
Reece James;1;Defensor Temerario
Renato Veiga;4;Defensor Regular
Tosin Adarabioyo;4;Defensor Regular
Trevoh Chalobah;4;Defensor Regular
Wesley Fofana;4;Defensor Regular
Ben Chilwell;1;Defensor Temerario
Chadi Riad;2;Defensor Caudillo
Chris Richards;4;Defensor Regular
Daniel Muñoz;0;Defensor Equilibrado
Joachim Andersen;2;Defensor Caudillo
Marc Guéhi;4;Defensor Regular
Maxence Lacroix;2;Defensor Caudillo
Nathaniel Clyne;4;Defensor Regular
Trevoh Chalobah;4;Defensor Regular
Tyrick Mitchell;1;Defensor Temerario
Ashley Young;1;Defensor Temerario
Jake O'Brien;4;Defensor Regular
James Tarkowski;2;Defensor Caudillo
Jarrad Branthwaite;4;Defensor Regular
Michael Keane;4;Defensor Regular
Nathan Patterson;1;Defensor Temerario
Roman Dixon;3;Defensor Atacante
Séamus Coleman;1;Defensor Temerario
Vitaliy Mykolenko;1;Defensor Temerario
Antonee Robinson;3;Defensor Atacante
Calvin Bassey;4;Defensor Regular
Issa Diop;2;Defensor Caudillo
Joachim Andersen;2;Defensor Caudillo
Jorge Cuenca;2;Defensor Caudillo
Kenny Tete;1;Defensor Temerario
Timothy Castagne;1;Defensor Temerario
Axel Tuanzebe;1;Defensor Temerario
Ben Godfrey;0;Defensor Equilibrado
Ben Johnson;0;Defensor Equilibrado
Cameron Burgess;4;Defensor Regular
Conor Townsend;4;Defensor Regular
Dara O'Shea;2;Defensor Caudillo
Harry Clarke;1;Defensor Temerario
Jacob Greaves;4;Defensor Regular
Leif Davis;1;Defensor Temerario
Luke Woolfenden;2;Defensor Caudillo
Caleb Okoli;4;Defensor Regular
Conor Coady;4;Defensor Regular
James Justin;1;Defensor Temerario
Jannik Vestergaard;4;Defensor Regular
Luke Thomas;1;Defensor Temerario
Ricardo Pereira;1;Defensor Temerario
Victor Bernth Kristiansen;1;Defensor Temerario
Wout Faes;4;Defensor Regular
Woyo Coulibaly;0;Defensor Equilibrado
Andrew Robertson;1;Defensor Temerario
Conor Bradley;0;Defensor Equilibrado
Ibrahima Konaté;2;Defensor Caudillo
Jarell Quansah;4;Defensor Regular
Joe Gomez;4;Defensor Regular
Kostas Tsimikas;1;Defensor Temerario
Trent Alexander-Arnold;3;Defensor Atacante
Virgil van Dijk;4;Defensor Regular
Abdukodir Khusanov;4;Defensor Regular
Jahmai Simpson-Pusey;4;Defensor Regular
John Stones;1;Defensor Temerario
Joško Gvardiol;1;Defensor Temerario
Kyle Walker;1;Defensor Temerario
Manuel Akanji;1;Defensor Temerario
Matheus Nunes;0;Defensor Equilibrado
Nathan Aké;1;Defensor Temerario
Nico O’Reilly;0;Defensor Equilibrado
Rico Lewis;0;Defensor Equilibrado
Rúben Dias;4;Defensor Regular
Antony;0;Defensor Equilibrado
Ayden Heaven;2;Defensor Caudillo
