player,cluster,classification
Bukayo Saka,4,Delantero Extremo
Ethan Nwaneri,4,Delantero Extremo
Gabriel Jesus,2,Delantero Generador de Peligro
Gabriel Martinelli,4,Delantero Extremo
Kai Havertz,0,Delantero Killer
Leandro Trossard,1,Delantero Mediapunta
Raheem Sterling,4,Delantero Extremo
Donyell Malen,0,Delantero Killer
Jacob Ramsey,1,Delantero Mediapunta
Jaden Philogene Bidace,4,Delantero Extremo
Jáder Durán,0,Delantero Killer
Leon Bailey,4,Delantero Extremo
Marcus Rashford,4,Delantero Extremo
Morgan Rogers,1,Delantero Mediapunta
Ollie Watkins,0,Delantero Killer
Antoine Semenyo,2,Delantero Generador de Peligro
Dango Ouattara,2,Delantero Generador de Peligro
Daniel Jebbison,4,Delantero Extremo
David Brooks,1,Delantero Mediapunta
Enes Ünal,3,Delantero Faro del Área
Evanilson,0,Delantero Killer
Luis Sinisterra,4,Delantero Extremo
Marcus Tavernier,1,Delantero Mediapunta
Bryan Mbeumo,2,Delantero Generador de Peligro
Fabio Carvalho,1,Delantero Mediapunta
Kevin Schade,0,Delantero Killer
Thiago,3,Delantero Faro del Área
Yoane Wissa,2,Delantero Generador de Peligro
Danny Welbeck,2,Delantero Generador de Peligro
Evan Ferguson,0,Delantero Killer
João Pedro,2,Delantero Generador de Peligro
Kaoru Mitoma,4,Delantero Extremo
Simon Adingra,4,Delantero Extremo
Solly March,4,Delantero Extremo
Yankuba Minteh,4,Delantero Extremo
Christopher Nkunku,1,Delantero Mediapunta
Jadon Sancho,4,Delantero Extremo
João Félix,1,Delantero Mediapunta
Mykhailo Mudryk,2,Delantero Generador de Peligro
Nicolas Jackson,2,Delantero Generador de Peligro
Noni Madueke,4,Delantero Extremo
Pedro Neto,4,Delantero Extremo
Tyrique George,4,Delantero Extremo
Eddie Nketiah,0,Delantero Killer
Jean-Philippe Mateta,0,Delantero Killer
Armando Broja,3,Delantero Faro del Área
Beto,3,Delantero Faro del Área
Carlos Alcaraz,1,Delantero Mediapunta
Dominic Calvert-Lewin,3,Delantero Faro del Área
Iliman Ndiaye,1,Delantero Mediapunta
Jack Harrison,1,Delantero Mediapunta
Jesper Lindstrøm,2,Delantero Generador de Peligro
Adama Traoré,2,Delantero Generador de Peligro
Alex Iwobi,1,Delantero Mediapunta
Harry Wilson,1,Delantero Mediapunta
Raúl Jiménez,0,Delantero Killer
Reiss Nelson,4,Delantero Extremo
Rodrigo Muniz,3,Delantero Faro del Área
Ryan Sessegnon,1,Delantero Mediapunta
Willian,1,Delantero Mediapunta
Ali Al Hamadi,0,Delantero Killer
Chiedozie Ogbene,4,Delantero Extremo
George Hirst,3,Delantero Faro del Área
Jack Clarke,1,Delantero Mediapunta
Jaden Philogene Bidace,2,Delantero Generador de Peligro
Liam Delap,0,Delantero Killer
Sammie Szmodics,0,Delantero Killer
Wes Burns,4,Delantero Extremo
Abdul Fatawu Issahaku,0,Delantero Killer
Bobby De Cordova-Reid,2,Delantero Generador de Peligro
Facundo Buonanotte,1,Delantero Mediapunta
Jamie Vardy,0,Delantero Killer
Jeremy Monga,4,Delantero Extremo
Jordan Ayew,0,Delantero Killer
Kasey McAteer,0,Delantero Killer
Patson Daka,0,Delantero Killer
Stephy Mavididi,1,Delantero Mediapunta
Cody Gakpo,2,Delantero Generador de Peligro
Darwin Núñez,0,Delantero Killer
Diogo Jota,0,Delantero Killer
Federico Chiesa,1,Delantero Mediapunta
Luis Díaz,2,Delantero Generador de Peligro
Mohamed Salah,4,Delantero Extremo
Erling Haaland,0,Delantero Killer
Jack Grealish,4,Delantero Extremo
Jeremy Doku,4,Delantero Extremo
Omar Marmoush,2,Delantero Generador de Peligro
Sávio,4,Delantero Extremo
Chidozie Obi-Martin,0,Delantero Killer
Joshua Zirkzee,0,Delantero Killer
Marcus Rashford,2,Delantero Generador de Peligro
Rasmus Højlund,0,Delantero Killer
Alexander Isak,2,Delantero Generador de Peligro
Anthony Gordon,1,Delantero Mediapunta
Callum Wilson,4,Delantero Extremo
Harvey Barnes,4,Delantero Extremo
Jacob Murphy,1,Delantero Mediapunta
Miguel Almirón,2,Delantero Generador de Peligro
William Osula,3,Delantero Faro del Área
Anthony Elanga,2,Delantero Generador de Peligro
Callum Hudson-Odoi,4,Delantero Extremo
Chris Wood,3,Delantero Faro del Área
Jota Silva,0,Delantero Killer
Ramón Sosa,2,Delantero Generador de Peligro
Taiwo Awoniyi,3,Delantero Faro del Área
Adam Armstrong,2,Delantero Generador de Peligro
Albert Grønbaek,0,Delantero Killer
Ben Brereton,0,Delantero Killer
Cameron Archer,4,Delantero Extremo
Kamaldeen Sulemana,4,Delantero Extremo
Paul Onuachu,3,Delantero Faro del Área
Ross Stewart,3,Delantero Faro del Área
Ryan Fraser,2,Delantero Generador de Peligro
Tyler Dibling,2,Delantero Generador de Peligro
Brennan Johnson,4,Delantero Extremo
Dominic Solanke,0,Delantero Killer
Mathys Tel,2,Delantero Generador de Peligro
Mikey Moore,4,Delantero Extremo
Richarlison,0,Delantero Killer
Son Heung-min,2,Delantero Generador de Peligro
Timo Werner,4,Delantero Extremo
Wilson Odobert,4,Delantero Extremo
Crysencio Summerville,2,Delantero Generador de Peligro
Danny Ings,0,Delantero Killer
Evan Ferguson,3,Delantero Faro del Área
Jarrod Bowen,4,Delantero Extremo
Michail Antonio,0,Delantero Killer
Mohammed Kudus,2,Delantero Generador de Peligro
Niclas Füllkrug,3,Delantero Faro del Área
Jørgen Strand Larsen,3,Delantero Faro del Área
Abderrahman Rebbach,4,Delantero Extremo
Asier Villalibre,3,Delantero Faro del Área
Carlos Martín,2,Delantero Generador de Peligro
Carlos Vicente,2,Delantero Generador de Peligro
Kiké,3,Delantero Faro del Área
Luka Romero,2,Delantero Generador de Peligro
Tomás Conechny,0,Delantero Killer
Toni Martínez,3,Delantero Faro del Área
Gorka Guruzeta,0,Delantero Killer
Iñaki Williams,4,Delantero Extremo
Maroan Sannadi,0,Delantero Killer
Nico Williams,4,Delantero Extremo
Nicolás Serrano,1,Delantero Mediapunta
Álex Berenguer,2,Delantero Generador de Peligro
Álvaro djaló,0,Delantero Killer
Alexander Sørloth,3,Delantero Faro del Área
Antoine Griezmann,1,Delantero Mediapunta
Julián Álvarez,2,Delantero Generador de Peligro
Ángel Correa,2,Delantero Generador de Peligro
Ansu Fati,2,Delantero Generador de Peligro
Ferrán Torres,2,Delantero Generador de Peligro
Lamine Yamal,4,Delantero Extremo
Pau Victor Delgado,2,Delantero Generador de Peligro
Raphinha,1,Delantero Mediapunta
Robert Lewandowski,0,Delantero Killer
Abde Ezzalzouli,4,Delantero Extremo
Antony,1,Delantero Mediapunta
Assane Diao,0,Delantero Killer
Cucho,0,Delantero Killer
Cédric Bakambu,0,Delantero Killer
Ezequiel Ávila,2,Delantero Generador de Peligro
Jesus Rodríguez,4,Delantero Extremo
Juanmi,0,Delantero Killer
Rodri,1,Delantero Mediapunta
Vitor Roque,2,Delantero Generador de Peligro
Alfon,4,Delantero Extremo
Anastasios Douvikas,0,Delantero Killer
Borja Iglesias,2,Delantero Generador de Peligro
Fer López,1,Delantero Mediapunta
Franco Cervi,1,Delantero Mediapunta
Iago Aspas,1,Delantero Mediapunta
Iker Losada,1,Delantero Mediapunta
Jonathan Bamba,1,Delantero Mediapunta
Pablo Durán,2,Delantero Generador de Peligro
Williot Swedberg,2,Delantero Generador de Peligro
Alejo Véliz,3,Delantero Faro del Área
Antoniu,2,Delantero Generador de Peligro
Irvin Cardona,2,Delantero Generador de Peligro
Javi Puado,2,Delantero Generador de Peligro
Roberto Férnandez,0,Delantero Killer
Walid Cheddira,0,Delantero Killer
Abdoulaye Keita,3,Delantero Faro del Área
Bertuğ Yıldırım,3,Delantero Faro del Área
Borja Mayoral,0,Delantero Killer
Christantus Uche,0,Delantero Killer
Juanmi,0,Delantero Killer
Álvaro Rodríguez,3,Delantero Faro del Área
Abel Ruiz,2,Delantero Generador de Peligro
Arnaut Danjuma,4,Delantero Extremo
Bojan Miovski,0,Delantero Killer
Bryan Gil,4,Delantero Extremo
Cristhian Stuani,0,Delantero Killer
Gabriel Osei Misehouy,1,Delantero Mediapunta
Portu,2,Delantero Generador de Peligro
Viktor Tsyhankov,1,Delantero Mediapunta
Yaser Asprilla,1,Delantero Mediapunta
Adnan Januzaj,1,Delantero Mediapunta
Alberto Moleiro,1,Delantero Mediapunta
Fábio Silva,0,Delantero Killer
Jaime Mata,3,Delantero Faro del Área
Manuel Fuster,1,Delantero Mediapunta
Marc Cardona,1,Delantero Mediapunta
Oliver McBurnie,3,Delantero Faro del Área
Sandro Ramírez,2,Delantero Generador de Peligro
Dani Raba,1,Delantero Mediapunta
Diego,3,Delantero Faro del Área
Juan Cruz,1,Delantero Mediapunta
Miguel,0,Delantero Killer
Munir El Haddadi,1,Delantero Mediapunta
Sébastien Haller,3,Delantero Faro del Área
Abdón Prats,3,Delantero Faro del Área
Cyle Larin,3,Delantero Faro del Área
Marc Domenech,3,Delantero Faro del Área
Takuma Asano,2,Delantero Generador de Peligro
Vedat Muriqi,3,Delantero Faro del Área
Ante Budimir,3,Delantero Faro del Área
Bryan Zaragoza,4,Delantero Extremo
Kike Barja,2,Delantero Generador de Peligro
Raúl,0,Delantero Killer
Rubén García,1,Delantero Mediapunta
Rubén Peña,1,Delantero Mediapunta
Adri Embarba,2,Delantero Generador de Peligro
Jorge de Frutos,2,Delantero Generador de Peligro
Randy Nteka,3,Delantero Faro del Área
Sergi Guardiola,0,Delantero Killer
Sergio Camello,2,Delantero Generador de Peligro
Álvaro García,2,Delantero Generador de Peligro
Brahim Díaz,1,Delantero Mediapunta
Endrick,4,Delantero Extremo
Kylian Mbappé,4,Delantero Extremo
Rodrygo,1,Delantero Mediapunta
Vinicius Júnior,4,Delantero Extremo
Arkaitz Mariezkurrena,0,Delantero Killer
Mikel Oyarzabal,0,Delantero Killer
Orri Steinn Óskarsson,3,Delantero Faro del Área
Sheraldo Becker,4,Delantero Extremo
Umar Sadiq,3,Delantero Faro del Área
Akor Adams,3,Delantero Faro del Área
Chidera Ejuke,4,Delantero Extremo
Dodi Lukebakio,2,Delantero Generador de Peligro
Isaac Romero,0,Delantero Killer
Jesús Navas,1,Delantero Mediapunta
Kelechi Iheanacho,2,Delantero Generador de Peligro
Lucas Ocampos,1,Delantero Mediapunta
Ruben Vargas,2,Delantero Generador de Peligro
Stanis Idumbo,2,Delantero Generador de Peligro
Suso,1,Delantero Mediapunta
Álvaro Pascual,0,Delantero Killer
Dani Gómez,0,Delantero Killer
Francisco Perez,1,Delantero Mediapunta
Hugo Duro,3,Delantero Faro del Área
Rafa Mir,0,Delantero Killer
Umar Sadiq,3,Delantero Faro del Área
Amath,2,Delantero Generador de Peligro
Juanmi Latasa,3,Delantero Faro del Área
Mamadou Sylla,3,Delantero Faro del Área
Marcos André,3,Delantero Faro del Área
Arnaut Danjuma,0,Delantero Killer
Ayoze Pérez,2,Delantero Generador de Peligro
Gerard Moreno,1,Delantero Mediapunta
Nicolas Pépé,2,Delantero Generador de Peligro
Thierno Barry,3,Delantero Faro del Área
Bamba Dieng,0,Delantero Killer
Esteban Lepaul,0,Delantero Killer
Farid El Melali,4,Delantero Extremo
Ibrahima Niane,0,Delantero Killer
Jim Allevinah,1,Delantero Mediapunta
Sidiki Cherif,0,Delantero Killer
Zinedine Ferhat,1,Delantero Mediapunta
Florian Ayé,3,Delantero Faro del Área
Lassine Sinayoko,2,Delantero Generador de Peligro
Theo Bair,3,Delantero Faro del Área
Abdallah Sima,0,Delantero Killer
Ibrahim Salah,4,Delantero Extremo
Jérémy Le Douaron,3,Delantero Faro del Área
Ludovic Ajorque,3,Delantero Faro del Área
Mama Samba Baldé,0,Delantero Killer
Mathias Pereira Lage,0,Delantero Killer
Romain Del Castillo,1,Delantero Mediapunta
André Ayew,3,Delantero Faro del Área
Emmanuel Sabbi,2,Delantero Generador de Peligro
Ilyes Housni,4,Delantero Extremo
Issa Soumaré,3,Delantero Faro del Área
Josué Casimir,2,Delantero Generador de Peligro
Koka,3,Delantero Faro del Área
Steve Ngoura,0,Delantero Killer
Anass Zaroury,1,Delantero Mediapunta
Florian Sotoca,1,Delantero Mediapunta
Goduine Koyalipou,0,Delantero Killer
Jeremy Agbonifo,4,Delantero Extremo
M'Bala Nzola,0,Delantero Killer
Martin Satriano,3,Delantero Faro del Área
Rémy Labeau Lascary,2,Delantero Generador de Peligro
Wesley Saïd,2,Delantero Generador de Peligro
Chuba Akpom,0,Delantero Killer
Edon Zhegrova,4,Delantero Extremo
Jonathan David,2,Delantero Generador de Peligro
Matias Fernandez-Pardo,4,Delantero Extremo
Mitchel Bakker,1,Delantero Mediapunta
Mohamed Lamine Bayo,2,Delantero Generador de Peligro
Osame Sahraoui,1,Delantero Mediapunta
Rémy Cabella,1,Delantero Mediapunta
Alexandre Lacazette,2,Delantero Generador de Peligro
Ernest Nuamah,2,Delantero Generador de Peligro
Georges Mikautadze,2,Delantero Generador de Peligro
Gift Orban,0,Delantero Killer
Malick Fofana,4,Delantero Extremo
Rayan Cherki,1,Delantero Mediapunta
Saïd Benrahma,1,Delantero Mediapunta
Amine Gouiri,2,Delantero Generador de Peligro
Elye Wahi,2,Delantero Generador de Peligro
Jon Rowe,2,Delantero Generador de Peligro
Mason Greenwood,1,Delantero Mediapunta
Neal Maupay,1,Delantero Mediapunta
Breel Embolo,2,Delantero Generador de Peligro
Folarin Balogun,2,Delantero Generador de Peligro
George Ilenikhena,0,Delantero Killer
Lucas Michal,2,Delantero Generador de Peligro
Maghnes Akliouche,1,Delantero Mediapunta
Mika Biereth,2,Delantero Generador de Peligro
Akor Adams,0,Delantero Killer
Andy Delort,3,Delantero Faro del Área
Arnaud Nordin,4,Delantero Extremo
Junior Ndiaye,0,Delantero Killer
Musa Al-Taamari,4,Delantero Extremo
Nicolas Pays,1,Delantero Mediapunta
Othmane Maamma,2,Delantero Generador de Peligro
Tanguy Coulibaly,2,Delantero Generador de Peligro
Wahbi Khazri,1,Delantero Mediapunta
