player,cluster,classification
David Raya,4,Arquero Muralla
Emiliano Martínez,0,Arquero Equilibrado
Robin Olsen,1,Arquero Trabajador
Kepa Arrizabalaga,0,Arquero Equilibrado
Mark Travers,3,Arquero Sufridor
Neto,1,Arquero Trabajador
Hákon Rafn Valdimarsson,1,Arquero Trabajador
Mark Flekken,0,Arquero Equilibrado
Bart Verbruggen,0,Arquero Equilibrado
Jason Steele,2,Arquero Playmaker
Filip Jørgensen,2,Arquero Playmaker
Robert Sánchez,0,Arquero Equilibrado
Dean Henderson,4,Arquero Muralla
Jordan Pickford,4,Arquero Muralla
Bernd Leno,2,Arquero Playmaker
Alex Palmer,1,Arquero Trabajador
Arijanet Muric,1,Arquero Trabajador
Christian Walton,1,Arquero Trabajador
Danny Ward,1,Arquero Trabajador
Jakub Stolarczyk,1,Arquero Trabajador
Mads Hermansen,1,Arquero Trabajador
Alisson,0,Arquero Equilibrado
Caoimhín Kelleher,2,Arquero Playmaker
Ederson,0,Arquero Equilibrado
Stefan Ortega,2,Arquero Playmaker
Altay Bayındır,1,Arquero Trabajador
André Onana,0,Arquero Equilibrado
Martin Dúbravka,0,Arquero Equilibrado
Nick Pope,0,Arquero Equilibrado
Matz Sels,4,Arquero Muralla
Aaron Ramsdale,1,Arquero Trabajador
Alex McCarthy,1,Arquero Trabajador
Joe Lumley,1,Arquero Trabajador
Antonín Kinský,2,Arquero Playmaker
Brandon Austin,1,Arquero Trabajador
Fraser Forster,1,Arquero Trabajador
Guglielmo Vicario,2,Arquero Playmaker
Alphonse Areola,0,Arquero Equilibrado
Łukasz Fabiański,1,Arquero Trabajador
Daniel Bentley,1,Arquero Trabajador
José Sá,0,Arquero Equilibrado
Sam Johnstone,1,Arquero Trabajador
Adrian Rodriguez,3,Arquero Sufridor
Antonio Sivera,4,Arquero Muralla
Jesús Owono,3,Arquero Sufridor
Alex Padilla,3,Arquero Sufridor
Julen Agirrezabala,0,Arquero Equilibrado
Unai Simón,4,Arquero Muralla
Jan Oblak,4,Arquero Muralla
Juan Musso,2,Arquero Playmaker
Iñaki Peña,2,Arquero Playmaker
Marc-André ter Stegen,2,Arquero Playmaker
Wojciech Szczęsny,0,Arquero Equilibrado
Adrián,2,Arquero Playmaker
Fran Vieites,2,Arquero Playmaker
Rui Silva,2,Arquero Playmaker
Iván Villar,2,Arquero Playmaker
Vicente Guaita,0,Arquero Equilibrado
Joan García,0,Arquero Equilibrado
David Soria,4,Arquero Muralla
Krapyvtsov Vladyslav,1,Arquero Trabajador
Paulo Gazzaniga,0,Arquero Equilibrado
Dinko Horkaš,2,Arquero Playmaker
Jasper Cillessen,1,Arquero Trabajador
Juan Soriano,3,Arquero Sufridor
Marko Dmitrović,4,Arquero Muralla
Dominik Greif,0,Arquero Equilibrado
Leo Román,3,Arquero Sufridor
Aitor Fernández,3,Arquero Sufridor
Sergio Herrera,4,Arquero Muralla
Augusto Batalla,0,Arquero Equilibrado
Cárdenas,1,Arquero Trabajador
Andriy Lunin,2,Arquero Playmaker
Fran,2,Arquero Playmaker
Thibaut Courtois,0,Arquero Equilibrado
Unai Marrero,1,Arquero Trabajador
Álex Remiro,4,Arquero Muralla
Álvaro Fernández,2,Arquero Playmaker
Ørjan Nyland,0,Arquero Equilibrado
Giorgi Mamardashvili,0,Arquero Equilibrado
Stole Dimitrievski,1,Arquero Trabajador
André Ferreira,1,Arquero Trabajador
Arnau Rafús,2,Arquero Playmaker
Karl Jakob Hein,0,Arquero Equilibrado
Diego Conde,2,Arquero Playmaker
Luiz Lúcio Reis Júnior,0,Arquero Equilibrado
Melvin Zinga,2,Arquero Playmaker
Yahia Fofana,0,Arquero Equilibrado
Donovan Léon,4,Arquero Muralla
Théo De Percin,1,Arquero Trabajador
Grégoire Coudert,1,Arquero Trabajador
Marco Bizot,4,Arquero Muralla
Arthur Desmas,1,Arquero Trabajador
Mathieu Gorgelin,1,Arquero Trabajador
Brice Samba,0,Arquero Equilibrado
Hervé Koffi,1,Arquero Trabajador
Mathew Ryan,0,Arquero Equilibrado
Lucas Chevalier,4,Arquero Muralla
Lucas Perri,0,Arquero Equilibrado
Rémy Descamps,2,Arquero Playmaker
Gerónimo Rulli,2,Arquero Playmaker
Philipp Köhn,0,Arquero Equilibrado
Radosław Majecki,2,Arquero Playmaker
Benjamin Lecomte,1,Arquero Trabajador
Dimitry Bertaud,1,Arquero Trabajador
Alban Lafont,1,Arquero Trabajador
Anthony Lopes,1,Arquero Trabajador
Patrik Carlgren,1,Arquero Trabajador
Marcin Bułka,0,Arquero Equilibrado
Arnau Tenas,2,Arquero Playmaker
Gianluigi Donnarumma,2,Arquero Playmaker
Matvei Safonov,2,Arquero Playmaker
Yehvann Diouf,0,Arquero Equilibrado
Brice Samba,2,Arquero Playmaker
Steve Mandanda,0,Arquero Equilibrado
Gautier Larsonneur,0,Arquero Equilibrado
Karl-Johan Johnsson,2,Arquero Playmaker
Đorđe Petrović,0,Arquero Equilibrado
Guillaume Restes,0,Arquero Equilibrado
Kjetil Haug,1,Arquero Trabajador
Finn Dahmen,0,Arquero Equilibrado
Nediljko Labrović,1,Arquero Trabajador
Daniel Peretz,2,Arquero Playmaker
Jonas Urbig,2,Arquero Playmaker
Manuel Neuer,0,Arquero Equilibrado
Sven Ulreich,2,Arquero Playmaker
Patrick Drewes,3,Arquero Sufridor
Timo Horn,3,Arquero Sufridor
Alexander Meyer,1,Arquero Trabajador
Gregor Kobel,0,Arquero Equilibrado
Kauã Santos,1,Arquero Trabajador
Kevin Trapp,0,Arquero Equilibrado
Florian Müller,1,Arquero Trabajador
Noah Atubolu,0,Arquero Equilibrado
Jonas Omlin,1,Arquero Trabajador
Moritz Nicolas,2,Arquero Playmaker
Tiago Cardoso,1,Arquero Trabajador
Frank Feller,2,Arquero Playmaker
Kevin Müller,0,Arquero Equilibrado
Luca Philipp,1,Arquero Trabajador
Oliver Baumann,1,Arquero Trabajador
Thomas Dähne,1,Arquero Trabajador
Timon Weiner,1,Arquero Trabajador
Lukáš Hrádecký,0,Arquero Equilibrado
Matej Kovar,2,Arquero Playmaker
Lasse Rieß,1,Arquero Trabajador
Robin Zentner,4,Arquero Muralla
Maarten Vandevoordt,2,Arquero Playmaker
Péter Gulácsi,4,Arquero Muralla
Ben Alexander Voll,1,Arquero Trabajador
Nikola Vasilj,0,Arquero Equilibrado
Alexander Nübel,0,Arquero Equilibrado
Alexander Schwolow,1,Arquero Trabajador
Frederik Rønnow,0,Arquero Equilibrado
Michael Zetterer,0,Arquero Equilibrado
Kamil Grabara,0,Arquero Equilibrado
Marius Müller,1,Arquero Trabajador
Juan Musso,1,Arquero Trabajador
Marco Carnesecchi,4,Arquero Muralla
Rui Patrício,2,Arquero Playmaker
Federico Ravaglia,2,Arquero Playmaker
Łukasz Skorupski,0,Arquero Equilibrado
Alen Sherri,1,Arquero Trabajador
Elia Caprile,0,Arquero Equilibrado
Simone Scuffet,1,Arquero Trabajador
Emil Audero,2,Arquero Playmaker
Jean Butez,2,Arquero Playmaker
Pepe Reina,2,Arquero Playmaker
Devis Vásquez,0,Arquero Equilibrado
Jacopo Seghetti,1,Arquero Trabajador
Marco Silvestri,3,Arquero Sufridor
David de Gea,4,Arquero Muralla
Pietro Terracciano,2,Arquero Playmaker
Benjamin Siegrist,1,Arquero Trabajador
Nicola Leali,4,Arquero Muralla
Pierluigi Gollini,2,Arquero Playmaker
Lorenzo Montipò,4,Arquero Muralla
Simone Perilli,3,Arquero Sufridor
Josep Martinez,2,Arquero Playmaker
Yann Sommer,0,Arquero Equilibrado
Mattia Perin,2,Arquero Playmaker
Michele Di Gregorio,4,Arquero Muralla
Christos Mandas,2,Arquero Playmaker
Ivan Provedel,2,Arquero Playmaker
Wladimiro Falcone,4,Arquero Muralla
Marco Sportiello,2,Arquero Playmaker
Mike Maignan,0,Arquero Equilibrado
Semuel Pizzignacco,1,Arquero Trabajador
Stefano Turati,1,Arquero Trabajador
Alex Meret,4,Arquero Muralla
Elia Caprile,2,Arquero Playmaker
Simone Scuffet,2,Arquero Playmaker
Leandro Chichizola,2,Arquero Playmaker
Zion Suzuki,0,Arquero Equilibrado
Mile Svilar,4,Arquero Muralla
Alberto Paleari,1,Arquero Trabajador
Vanja Milinković-Savić,0,Arquero Equilibrado
Daniele Padelli,1,Arquero Trabajador
Maduka Okoye,2,Arquero Playmaker
Razvan Sava,0,Arquero Equilibrado
Filip Stankovic,1,Arquero Trabajador
Ionuț Radu,0,Arquero Equilibrado
Jesse Joronen,2,Arquero Playmaker
