player,cluster,classification
Declan Rice,1,Mediocampista Lector de Juego
Jorginho,4,Mediocampista Pasador
Martin Ødegaard,4,Mediocampista Pasador
Mikel Merino,2,Mediocampista Box to Box
Thomas Partey,1,Mediocampista Lector de Juego
Amadou Onana,1,Mediocampista Lector de Juego
Boubacar Kamara,1,Mediocampista Lector de Juego
Emi Buendía,5,Mediocampista Enganche
John McGinn,0,Mediocampista Goleador
Marco Asensio,0,Mediocampista Goleador
Ross Barkley,1,Mediocampista Lector de Juego
Youri Tielemans,1,Mediocampista Lector de Juego
Alex Scott,0,Mediocampista Goleador
Justin Kluivert,0,Mediocampista Goleador
Lewis Cook,1,Mediocampista Lector de Juego
Philip Billing,3,Mediocampista Recuperador
Ryan Christie,0,Mediocampista Goleador
Tyler Adams,1,Mediocampista Lector de Juego
Christian Nørgaard,1,Mediocampista Lector de Juego
Edmond-Paris Maghoma,4,Mediocampista Pasador
Mathias Jensen,1,Mediocampista Lector de Juego
Mikkel Damsgaard,1,Mediocampista Lector de Juego
Vitaly Janelt,2,Mediocampista Box to Box
Yehor Yarmoliuk,1,Mediocampista Lector de Juego
Billy Gilmour,1,Mediocampista Lector de Juego
Brajan Gruda,2,Mediocampista Box to Box
Carlos Baleba,1,Mediocampista Lector de Juego
Diego Gómez,1,Mediocampista Lector de Juego
Georginio Rutter,2,Mediocampista Box to Box
James Milner,3,Mediocampista Recuperador
Julio Enciso,5,Mediocampista Enganche
Mats Wieffer,1,Mediocampista Lector de Juego
Matt O'Riley,0,Mediocampista Goleador
Yasin Ayari,1,Mediocampista Lector de Juego
Cole Palmer,0,Mediocampista Goleador
Enzo Fernández,4,Mediocampista Pasador
Kiernan Dewsbury-Hall,1,Mediocampista Lector de Juego
Moisés Caicedo,1,Mediocampista Lector de Juego
Roméo Lavia,0,Mediocampista Goleador
Adam Wharton,0,Mediocampista Goleador
Cheick Doucouré,0,Mediocampista Goleador
Daichi Kamada,0,Mediocampista Goleador
Eberechi Eze,2,Mediocampista Box to Box
Ismaila Sarr,0,Mediocampista Goleador
Jefferson Lerma,1,Mediocampista Lector de Juego
Jeffrey Schlupp,5,Mediocampista Enganche
