league,season,team,player,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,27-228,1997,12.3,18,12,10,4,4,15,33,45.5,18,10,8,2,16,34,43,0
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23-261,2001,18.9,28,15,9,11,8,12,23,52.2,11,22,0,22,3,31,8,0
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,29-251,1995,37.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,20,9
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,26-130,1999,30.4,53,25,22,25,6,17,39,43.6,22,25,12,13,25,78,47,0
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",18-064,2007,9.1,11,7,4,4,3,7,18,38.9,11,8,2,6,2,13,4,1
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,28-051,1997,6.8,10,6,4,3,3,4,9,44.4,5,10,1,9,4,14,8,0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27-156,1997,26.3,25,15,12,8,5,12,16,75.0,4,42,29,13,16,41,93,2
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23-340,2001,24.7,21,15,9,5,7,7,23,30.4,16,14,0,14,5,26,19,0
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,25-098,2000,11.5,19,8,11,6,2,11,14,78.6,3,11,7,4,6,25,53,2
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,33-155,1991,7.8,12,4,1,7,4,8,20,40.0,12,3,0,3,7,19,2,2
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23-341,2001,26.9,58,38,17,30,11,18,27,66.7,9,19,4,15,22,80,44,1
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25-347,1999,20.6,16,9,3,6,7,4,15,26.7,11,23,4,19,6,22,33,1
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,"DF,FW",27-353,1997,2.2,6,5,4,1,1,4,6,66.7,2,0,0,0,2,8,5,0
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30-171,1994,28.0,30,20,6,15,9,12,34,35.3,22,32,0,32,9,39,18,0
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26-158,1998,25.7,19,11,9,7,3,4,24,16.7,20,5,0,5,6,25,6,1
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28-336,1996,16.6,43,26,7,24,12,18,33,54.5,15,18,5,13,15,58,25,2
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18-240,2006,15.0,22,14,10,9,3,10,11,90.9,1,3,1,2,7,29,25,0
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,22-140,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28-160,1996,5.1,4,1,1,2,1,2,7,28.6,5,6,1,5,4,8,6,0
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",30-167,1994,4.9,8,4,1,2,5,4,8,50.0,4,3,0,3,1,9,3,0
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25-165,1999,0.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,23-005,2002,10.9,27,19,15,10,2,18,29,62.1,11,12,6,6,9,36,25,0
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26-200,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31-345,1993,30.1,87,53,26,38,23,45,74,60.8,29,28,8,20,35,122,47,4
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,24-061,2001,33.8,62,37,37,23,2,21,28,75.0,7,25,15,10,21,83,119,7
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,23-281,2001,17.3,53,28,23,26,4,15,28,53.6,13,15,7,8,26,79,41,3
ENG-Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",22-106,2003,3.5,9,5,5,3,1,4,8,50.0,4,2,0,2,2,11,10,2
ENG-Premier League,2425,Aston Villa,Axel Disasi,FRA,DF,27-074,1998,5.4,8,5,7,1,0,3,7,42.9,4,4,1,3,5,13,18,0
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,25-182,1999,18.3,50,21,28,18,4,29,56,51.8,27,18,7,11,19,69,50,3
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,32-070,1993,9.2,8,3,6,1,1,4,6,66.7,2,13,7,6,5,13,36,2
ENG-Premier League,2425,Aston Villa,Donyell Malen,NED,FW,26-135,1999,3.3,7,4,3,3,1,1,4,25.0,3,2,0,2,0,7,1,0
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",28-150,1996,1.1,6,6,3,2,1,0,5,0.0,5,5,1,4,0,6,2,0
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,32-264,1992,35.0,3,3,3,0,0,2,2,100.0,0,1,0,1,0,3,17,6
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,27-213,1997,31.6,34,18,20,10,4,20,25,80.0,5,18,10,8,22,56,110,4
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,23-075,2002,11.7,29,17,17,9,3,17,24,70.8,7,13,0,13,15,44,35,2
