league,season,team,player,nation,position,age,born_year,90s,shot_creating_actions,shot_creating_actions_90s,play_passes_to_shot,fk_passes_to_shot,take_ons_to_shot,shot_to_shot,fouls_drawn_to_shot,defensive_actions_to_shot,goal_creating_actions,goal_creating_actions_90s,play_passes_to_goal,fk_passes_to_goal,take_ons_to_goal,shot_to_goal,fouls_drawn_to_goal,defensive_actions_to_goal
Premier League,2425,Arsenal,Ben White,ENG,DF,27,1997.0,12.3,19,1.54,18,1,0,0,0,0,1,0.08,1,0,0,0,0,0
Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23,2001.0,18.9,112,5.93,68,20,11,9,4,0,23,1.22,14,5,2,1,1,0
Premier League,2425,Arsenal,David Raya,ESP,GK,29,1995.0,37.0,5,0.14,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Premier League,2425,Arsenal,Declan Rice,ENG,MF,26,1999.0,30.4,106,3.49,57,33,4,5,5,2,10,0.33,6,2,1,1,0,0
Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",18,2007.0,9.1,22,2.41,12,4,3,2,1,0,3,0.33,3,0,0,0,0,0
Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,28,1997.0,6.8,18,2.66,10,0,1,5,1,1,4,0.59,1,0,0,3,0,0
Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27,1997.0,26.3,35,1.33,31,0,0,3,1,0,6,0.23,4,0,0,1,1,0
Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001.0,24.7,67,2.71,51,1,8,4,3,0,6,0.24,3,0,1,1,1,0
Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,25,2000.0,11.5,8,0.7,7,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Arsenal,Jorginho,ITA,MF,33,1991.0,7.8,12,1.54,10,0,0,0,2,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001.0,26.9,52,1.94,46,1,3,0,1,1,9,0.34,8,0,1,0,0,0
Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25,1999.0,20.6,41,1.99,34,0,1,6,0,0,3,0.15,2,0,0,1,0,0
Premier League,2425,Arsenal,Kieran Tierney,SCO,"DF,FW",27,1997.0,2.2,8,3.65,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30,1994.0,28.0,92,3.29,71,2,7,6,4,2,7,0.25,7,0,0,0,0,0
Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26,1998.0,25.7,123,4.8,101,13,2,5,2,0,17,0.66,14,2,0,1,0,0
Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996.0,16.6,41,2.47,34,0,0,5,2,0,4,0.24,3,0,0,1,0,0
Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18,2006.0,15.0,29,1.94,21,0,1,1,6,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,22,2003.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28,1996.0,5.1,16,3.14,11,1,1,2,1,0,2,0.39,2,0,0,0,0,0
Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",30,1994.0,4.9,18,3.71,14,0,2,2,0,0,3,0.62,3,0,0,0,0,0
Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25,1999.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,23,2002.0,10.9,13,1.19,11,0,1,1,0,0,2,0.18,2,0,0,0,0,0
Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26,1998.0,0.1,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31,1993.0,30.1,61,2.03,51,2,1,2,1,4,13,0.43,8,2,0,1,1,1
Premier League,2425,Arsenal,William Saliba,FRA,DF,24,2001.0,33.8,27,0.8,25,0,0,1,0,1,1,0.03,1,0,0,0,0,0
Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,23,2001.0,17.3,31,1.79,24,2,1,4,0,0,4,0.23,2,1,0,1,0,0
Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",22,2003.0,3.5,3,0.85,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Aston Villa,Axel Disasi,FRA,DF,27,1998.0,5.4,9,1.65,7,0,1,0,0,1,0,0.0,0,0,0,0,0,0
Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,25,1999.0,18.3,27,1.48,20,1,1,2,1,2,2,0.11,2,0,0,0,0,0
Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,32,1993.0,9.2,4,0.43,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Aston Villa,Donyell Malen,NED,FW,26,1999.0,3.3,5,1.51,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",28,1996.0,1.1,3,2.76,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,32,1992.0,35.0,6,0.17,5,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,27,1997.0,31.6,24,0.76,19,2,1,2,0,0,3,0.09,3,0,0,0,0,0
Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,23,2002.0,11.7,52,4.46,38,3,5,5,0,1,7,0.6,6,0,1,0,0,0
Premier League,2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23,2001.0,17.7,51,2.88,40,0,4,1,6,0,8,0.45,7,0,0,0,1,0
Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",23,2002.0,3.7,5,1.36,3,0,0,0,1,1,0,0.0,0,0,0,0,0,0
Premier League,2425,Aston Villa,John McGinn,SCO,"MF,FW",30,1994.0,24.0,76,3.16,56,9,1,4,5,1,8,0.33,6,2,0,0,0,0
Premier League,2425,Aston Villa,Jáder Durán,COL,FW,21,2003.0,7.1,18,2.54,9,0,0,4,3,2,1,0.14,0,0,0,0,0,1
Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,19,2005.0,1.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",21,2004.0,5.3,10,1.89,8,1,0,0,0,1,1,0.19,1,0,0,0,0,0
Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27,1997.0,12.7,38,3.01,23,1,8,3,3,0,4,0.32,4,0,0,0,0,0
Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31,1993.0,26.1,66,2.53,42,18,1,4,0,1,5,0.19,5,0,0,0,0,0
Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,29,1996.0,7.8,34,4.38,21,7,1,1,3,1,3,0.39,2,0,0,1,0,0
Premier League,2425,Aston Villa,Marcus Rashford,ENG,FW,27,1997.0,4.9,27,5.49,14,5,3,2,3,0,3,0.61,2,0,0,1,0,0
Premier League,2425,Aston Villa,Matty Cash,POL,DF,27,1997.0,22.0,24,1.09,21,1,1,0,0,1,4,0.18,3,0,0,0,0,1
Premier League,2425,Aston Villa,Morgan Rogers,ENG,"FW,MF",22,2002.0,33.7,105,3.12,80,0,13,7,5,0,16,0.48,14,0,1,0,1,0
Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,29,1995.0,27.9,53,1.9,36,0,4,7,6,0,12,0.43,8,0,1,1,2,0
Premier League,2425,Aston Villa,Pau Torres,ESP,DF,28,1997.0,21.4,13,0.61,10,0,0,3,0,0,2,0.09,1,0,0,1,0,0
Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,35,1990.0,2.0,2,1.0,0,2,0,0,0,0,1,0.5,0,1,0,0,0,0
Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,31,1993.0,6.4,18,2.82,15,1,2,0,0,0,3,0.47,3,0,0,0,0,0
