league,season,team,player,nation,position,age,born_year,90s,yellow_cards,red_cards,second_yellow_card_expulsions,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,recoveries,aerial_duels_won,aerial_duels_lost,perc_aerial_duels_won
Premier League,2425,Arsenal,Ben White,ENG,DF,27,1997.0,12.3,2,0,0,9,5,1,14,16,12,0,0,0,33,15,6,71.4
Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23,2001.0,18.9,3,0,0,14,39,6,115,3,15,1,0,0,70,10,20,33.3
Premier League,2425,Arsenal,David Raya,ESP,GK,29,1995.0,37.0,3,0,0,1,10,0,0,2,0,0,1,0,40,13,0,100.0
Premier League,2425,Arsenal,Declan Rice,ENG,MF,26,1999.0,30.4,7,1,1,20,16,2,161,25,25,0,0,0,148,35,25,58.3
Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",18,2007.0,9.1,1,0,0,8,5,6,51,2,7,0,0,0,33,4,7,36.4
Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,28,1997.0,6.8,4,0,0,14,10,9,7,4,6,0,0,0,28,9,18,33.3
Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27,1997.0,26.3,4,0,0,19,19,0,9,16,15,1,0,0,63,53,37,58.9
Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001.0,24.7,1,0,0,16,21,8,86,5,15,0,0,0,76,16,39,29.1
Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,25,2000.0,11.5,1,0,0,10,4,1,2,6,8,0,0,0,26,10,9,52.6
Premier League,2425,Arsenal,Jorginho,ITA,MF,33,1991.0,7.8,5,0,0,15,17,0,1,7,4,0,0,0,55,1,6,14.3
Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001.0,26.9,7,0,0,31,29,6,28,22,38,0,0,0,94,22,20,52.4
Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25,1999.0,20.6,5,0,0,38,23,14,11,6,9,0,0,0,41,62,74,45.6
Premier League,2425,Arsenal,Kieran Tierney,SCO,"DF,FW",27,1997.0,2.2,0,0,0,0,2,2,10,2,5,0,0,0,4,3,5,37.5
Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30,1994.0,28.0,4,1,1,26,46,6,83,9,20,0,0,0,104,6,24,20.0
Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26,1998.0,25.7,4,0,0,12,23,1,86,6,11,0,0,0,96,8,7,53.3
