league,season,team,player,nation,position,age,born_year,90s,passes_attempted,play_passes,fk_passes,free_kicks_passes,through_ball_passes,switches_passes,crosses_passes,throw_ins_passes,corner_kicks_passes,inswinging_corner_kicks,outswinging_corner_kicks,straight_corner_kicks,passes_completed,passes_offside,passes_blocked_by_rival
Premier League,2425,Arsenal,Ben White,ENG,DF,27,1997.0,12.3,619,514,103,20,1,7,14,79,0,0,0,0,517,2,6
Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23,2001.0,18.9,710,624,82,7,4,2,115,12,63,55,0,2,536,4,20
Premier League,2425,Arsenal,David Raya,ESP,GK,29,1995.0,37.0,1396,1158,235,89,0,2,0,0,0,0,0,0,1026,3,0
Premier League,2425,Arsenal,Declan Rice,ENG,MF,26,1999.0,30.4,1591,1382,204,70,4,17,161,4,105,91,3,0,1326,5,14
Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",18,2007.0,9.1,383,351,29,2,2,1,51,4,23,17,0,0,307,3,12
Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,28,1997.0,6.8,203,197,3,0,1,0,7,3,0,0,0,0,156,3,12
Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27,1997.0,26.3,1641,1560,80,51,1,8,9,3,0,0,0,0,1480,1,8
Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001.0,24.7,667,648,14,0,5,2,86,11,3,3,0,0,475,5,34
Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,25,2000.0,11.5,674,643,30,9,3,1,2,4,0,0,0,0,614,1,1
Premier League,2425,Arsenal,Jorginho,ITA,MF,33,1991.0,7.8,474,466,8,7,4,1,1,0,0,0,0,0,411,0,5
Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001.0,26.9,1395,1188,204,22,2,1,28,182,0,0,0,0,1194,3,25
Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25,1999.0,20.6,512,504,6,1,1,0,11,5,0,0,0,0,402,2,11
Premier League,2425,Arsenal,Kieran Tierney,SCO,"DF,FW",27,1997.0,2.2,120,102,18,4,0,0,10,14,0,0,0,0,97,0,2
Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30,1994.0,28.0,939,903,28,5,7,5,83,7,10,9,0,0,699,8,40
Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26,1998.0,25.7,1481,1355,114,35,25,3,86,12,37,31,0,0,1224,12,26
Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996.0,16.6,565,555,5,4,5,1,13,1,0,0,0,0,442,5,12
Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18,2006.0,15.0,761,649,107,17,3,2,10,90,0,0,0,0,694,5,2
Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,22,2003.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28,1996.0,5.1,380,335,42,11,2,3,10,29,1,0,0,0,315,3,3
Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",30,1994.0,4.9,183,180,1,0,0,1,14,0,1,0,0,0,141,2,7
Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25,1999.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,23,2002.0,10.9,549,483,65,7,0,2,11,58,0,0,0,0,470,1,11
Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26,1998.0,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31,1993.0,30.1,1854,1753,95,27,6,4,12,62,0,0,0,0,1615,6,13
Premier League,2425,Arsenal,William Saliba,FRA,DF,24,2001.0,33.8,2559,2508,46,36,1,10,3,4,0,0,0,0,2413,5,4
Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,23,2001.0,17.3,774,769,4,4,3,0,2,0,0,0,0,0,680,1,11
Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",22,2003.0,3.5,201,176,25,0,0,0,18,25,0,0,0,0,174,0,5
Premier League,2425,Aston Villa,Axel Disasi,FRA,DF,27,1998.0,5.4,280,258,20,9,1,0,1,11,0,0,0,0,243,2,5
Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,25,1999.0,18.3,900,874,26,24,5,0,1,0,0,0,0,0,798,0,8
Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,32,1993.0,9.2,603,575,25,17,0,6,0,0,0,0,0,0,534,3,0
Premier League,2425,Aston Villa,Donyell Malen,NED,FW,26,1999.0,3.3,71,66,4,0,0,1,7,1,0,0,0,0,50,1,3
Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",28,1996.0,1.1,60,59,1,1,1,0,0,0,0,0,0,0,49,0,0
Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,32,1992.0,35.0,1364,1098,259,89,0,2,0,0,0,0,0,0,1074,7,0
