league,season,team,player,nation,position,age,born_year,90s,touches,touches_def_penalty_area,touches_def_third,touches_mid_third,touches_ofe_third,touches_ofe_penalty_area,touches_live,take_ons_attempted,take_ons_successful,perc_take_ons,times_tackled_during_take_ons,perc_tackles,carries,carries_distance,progressive_carries_distance,progressive_carries,carries_into_ofe_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Premier League,2425,Arsenal,Ben White,ENG,DF,27,1997.0,12.3,736,54,208,331,201,25,736,6,0,0.0,5,83.3,354,1398,791,19,14,4,10,6,437,35
Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23,2001.0,18.9,955,6,56,214,694,158,954,89,40,44.9,37,41.6,612,4159,2403,94,32,50,34,38,692,247
Premier League,2425,Arsenal,David Raya,ESP,GK,29,1995.0,37.0,1460,869,1372,88,0,0,1460,1,1,100.0,0,0.0,911,4505,2707,0,0,0,1,0,832,0
Premier League,2425,Arsenal,Declan Rice,ENG,MF,26,1999.0,30.4,1876,75,312,880,703,77,1876,29,14,48.3,14,48.3,999,6315,3348,90,56,16,36,30,1223,93
Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",18,2007.0,9.1,496,3,43,160,298,40,496,55,32,58.2,17,30.9,334,2641,1243,44,23,16,21,17,362,102
Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,28,1997.0,6.8,299,9,28,108,165,48,299,22,9,40.9,10,45.5,179,953,432,15,6,11,13,13,217,57
Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27,1997.0,26.3,1873,189,672,985,225,40,1873,5,4,80.0,1,20.0,1116,4470,2669,10,22,0,9,2,1366,11
Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001.0,24.7,952,17,100,242,625,178,952,107,32,29.9,59,55.1,640,4808,2547,120,32,62,49,36,718,281
Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,25,2000.0,11.5,773,92,261,452,61,5,773,4,3,75.0,1,25.0,446,1803,975,5,6,1,3,1,565,1
Premier League,2425,Arsenal,Jorginho,ITA,MF,33,1991.0,7.8,522,9,93,304,131,3,522,4,1,25.0,2,50.0,302,1498,874,12,13,0,12,9,389,6
Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001.0,26.9,1661,51,304,859,505,66,1661,53,24,45.3,24,45.3,890,3916,2076,57,27,11,33,24,1052,104
Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25,1999.0,20.6,775,31,92,284,404,104,775,38,9,23.7,24,63.2,414,2006,952,35,23,18,43,23,576,110
Premier League,2425,Arsenal,Kieran Tierney,SCO,"DF,FW",27,1997.0,2.2,138,5,22,47,69,4,138,3,1,33.3,1,33.3,62,248,125,5,3,1,2,0,94,23
Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30,1994.0,28.0,1261,17,135,395,749,156,1261,86,38,44.2,37,43.0,817,4992,2211,80,55,30,66,51,941,221
Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26,1998.0,25.7,1674,8,125,705,859,115,1673,58,24,41.4,32,55.2,1158,7365,3740,91,83,25,38,39,1318,151
Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996.0,16.6,761,36,137,320,314,75,761,22,9,40.9,9,40.9,378,1465,716,10,13,4,23,25,492,92
Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18,2006.0,15.0,886,27,171,470,259,16,886,28,12,42.9,9,32.1,519,2613,1600,35,26,7,12,9,606,37
Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,22,2003.0,0.1,1,0,0,0,1,1,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28,1996.0,5.1,413,13,77,207,130,18,413,4,3,75.0,0,0.0,235,1151,509,10,5,3,3,4,287,12
Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",30,1994.0,4.9,247,2,8,52,190,37,247,25,9,36.0,9,36.0,178,1278,690,25,9,15,11,14,188,73
Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25,1999.0,0.0,2,0,1,1,0,0,2,0,0,0.0,0,0.0,1,4,4,0,0,0,0,0,1,0
Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,23,2002.0,10.9,653,30,164,264,229,30,653,13,9,69.2,3,23.1,308,1655,889,22,15,3,12,5,394,29
Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26,1998.0,0.1,7,1,4,1,2,1,7,0,0,0.0,0,0.0,1,7,5,0,0,0,0,0,2,0
Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31,1993.0,30.1,2118,71,448,1167,515,33,2118,35,24,68.6,9,25.7,1206,6532,3517,35,39,3,24,17,1503,48
Premier League,2425,Arsenal,William Saliba,FRA,DF,24,2001.0,33.8,2824,190,1127,1571,142,18,2824,19,12,63.2,6,31.6,1756,7626,4154,16,17,1,19,8,2137,6
Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,23,2001.0,17.3,966,70,258,571,153,22,966,19,13,68.4,3,15.8,534,2775,1460,26,24,1,11,9,650,16
Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",22,2003.0,3.5,256,8,38,108,112,2,256,18,5,27.8,12,66.7,159,1262,673,26,13,2,10,6,168,28
Premier League,2425,Aston Villa,Axel Disasi,FRA,DF,27,1998.0,5.4,334,32,130,178,29,6,334,15,9,60.0,6,40.0,207,1268,621,10,8,2,3,2,223,5
Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,25,1999.0,18.3,1079,94,327,622,139,12,1079,26,8,30.8,9,34.6,572,2860,1327,18,12,2,12,17,735,7
