league,season,team,player,nation,position,age,born_year,90s,goals,shoots,shoots_on_target,perc_shoots_on_target,shoots_90s,shoots_on_target_90s,goals_over_shoots,goals_over_shoots_on_target,average_shot_distance,shoots_free_kicks,penalties_scored,penalties_attempted,xG,no_penalty_xG,no_penalty_xg_over_shoots,goals_xG_difference,no_penalties_goals_xG_difference
Premier League,2425,Arsenal,Ben White,ENG,DF,27,1997.0,12.3,0,9,2,22.2,0.73,0.16,0.0,0.0,19.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23,2001.0,18.9,6,64,22,34.4,3.39,1.16,0.08,0.23,15.7,1,1,1,6.8,6.0,0.09,-0.8,-1.0
Premier League,2425,Arsenal,David Raya,ESP,GK,29,1995.0,37.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Arsenal,Declan Rice,ENG,MF,26,1999.0,30.4,4,46,13,28.3,1.51,0.43,0.09,0.31,19.7,2,0,0,3.4,3.4,0.07,0.6,0.6
Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",18,2007.0,9.1,4,22,8,36.4,2.41,0.88,0.18,0.5,18.2,1,0,0,1.1,1.1,0.05,2.9,2.9
Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,28,1997.0,6.8,3,20,7,35.0,2.96,1.04,0.15,0.43,11.1,0,0,0,3.0,3.0,0.15,0.0,0.0
Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27,1997.0,26.3,3,22,5,22.7,0.84,0.19,0.14,0.6,9.5,0,0,0,2.6,2.6,0.12,0.4,0.4
Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001.0,24.7,8,51,22,43.1,2.07,0.89,0.16,0.36,12.9,0,0,0,6.5,6.5,0.13,1.5,1.5
Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,25,2000.0,11.5,1,3,1,33.3,0.26,0.09,0.33,1.0,18.5,0,0,0,0.2,0.2,0.06,0.8,0.8
Premier League,2425,Arsenal,Jorginho,ITA,MF,33,1991.0,7.8,0,2,0,0.0,0.26,0.0,0.0,0.0,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001.0,26.9,1,14,4,28.6,0.52,0.15,0.07,0.25,14.1,0,0,0,1.2,1.2,0.09,-0.2,-0.2
Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25,1999.0,20.6,9,52,21,40.4,2.52,1.02,0.17,0.43,11.7,0,0,0,9.4,9.4,0.18,-0.4,-0.4
Premier League,2425,Arsenal,Kieran Tierney,SCO,"DF,FW",27,1997.0,2.2,0,1,0,0.0,0.46,0.0,0.0,0.0,2.6,0,0,0,0.2,0.2,0.21,-0.2,-0.2
Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30,1994.0,28.0,8,71,21,29.6,2.54,0.75,0.11,0.38,15.9,0,0,0,7.1,7.1,0.1,0.9,0.9
Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26,1998.0,25.7,2,47,14,29.8,1.83,0.55,0.02,0.07,19.1,3,1,1,4.7,4.0,0.08,-2.7,-3.0
Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996.0,16.6,7,35,13,37.1,2.11,0.78,0.2,0.54,10.7,0,0,0,5.6,5.6,0.16,1.4,1.4
Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18,2006.0,15.0,1,3,1,33.3,0.2,0.07,0.33,1.0,14.7,0,0,0,0.2,0.2,0.05,0.8,0.8
Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,22,2003.0,0.1,0,1,1,100.0,12.86,12.86,0.0,0.0,15.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28,1996.0,5.1,0,6,0,0.0,1.18,0.0,0.0,0.0,18.0,1,0,0,0.3,0.3,0.05,-0.3,-0.3
Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",30,1994.0,4.9,0,10,0,0.0,2.06,0.0,0.0,0.0,15.0,2,0,0,1.3,1.3,0.13,-1.3,-1.3
Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25,1999.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,23,2002.0,10.9,2,10,6,60.0,0.92,0.55,0.2,0.33,14.1,0,0,0,0.9,0.9,0.09,1.1,1.1
Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26,1998.0,0.1,0,1,0,0.0,12.86,0.0,0.0,0.0,1.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2
Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31,1993.0,30.1,4,25,8,32.0,0.83,0.27,0.16,0.5,18.8,0,0,0,2.3,2.3,0.09,1.7,1.7
Premier League,2425,Arsenal,William Saliba,FRA,DF,24,2001.0,33.8,2,6,2,33.3,0.18,0.06,0.33,1.0,5.4,0,0,0,2.3,2.3,0.38,-0.3,-0.3
Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,23,2001.0,17.3,3,17,6,35.3,0.98,0.35,0.18,0.5,14.7,0,0,0,2.1,2.1,0.12,0.9,0.9
Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",22,2003.0,3.5,0,2,0,0.0,0.57,0.0,0.0,0.0,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Premier League,2425,Aston Villa,Axel Disasi,FRA,DF,27,1998.0,5.4,0,2,0,0.0,0.37,0.0,0.0,0.0,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,25,1999.0,18.3,1,10,3,30.0,0.55,0.16,0.1,0.33,19.6,0,0,0,0.8,0.8,0.08,0.2,0.2
Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,32,1993.0,9.2,0,4,1,25.0,0.43,0.11,0.0,0.0,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6
Premier League,2425,Aston Villa,Donyell Malen,NED,FW,26,1999.0,3.3,3,15,9,60.0,4.53,2.72,0.2,0.33,15.2,0,0,0,2.2,2.2,0.14,0.8,0.8
Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",28,1996.0,1.1,0,5,0,0.0,4.59,0.0,0.0,0.0,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7
